name,compiler,type,threads,input,instructions:u,mpx_new_bounds_table,,time,mpxbtnum,mpxerrors,instructions,instructions:k
facesim,icc,mpx_only_write,1,None,28676375158,125,3.825039797,,,30388868253,1712493095,
bodytrack,icc,mpx_only_write,1,None,749824777305,5,80.968822187,,,751138145291,1313367986,
vips,icc,mpx_only_write,1,None,702897541589,8,62.798676815,,,707553059613,4655518024,
fluidanimate,icc,mpx_only_write,1,None,1664216385017,506,223.853389224,,,1665194910146,978525129,
dedup,icc,mpx_only_write,1,None,139191855091,1352,24.713373589,,,150287159091,11095304000,
ferret,icc,mpx_only_write,1,None,,,,,,,,
swaptions,icc,mpx_only_write,1,None,1214660143487,5,127.284364673,,,1214805263611,145120124,
streamcluster,icc,mpx_only_write,1,None,407097467669,14,201.064842456,,,407333992423,236524754,
canneal,icc,mpx_only_write,1,None,147704794344,829,152.409416945,,,149365179231,1660384887,
blackscholes,icc,mpx_only_write,1,None,407455492883,2,83.555991194,,,408351173574,895680691,
raytrace,icc,mpx_only_write,1,None,,,,,,,,
x264,icc,mpx_only_write,1,None,,,,,,,,
facesim,icc,mpx_no_narrow_bounds,1,None,30444965595,129,4.015565592,,,32179267016,1734301421,
bodytrack,icc,mpx_no_narrow_bounds,1,None,841254504655,6,93.49003019,,,842582358146,1327853491,
vips,icc,mpx_no_narrow_bounds,1,None,859665740564,7,84.070635188,,,861857791866,2192051302,
fluidanimate,icc,mpx_no_narrow_bounds,1,None,1806024824999,506,233.35216422,,,1807015696744,990871745,
dedup,icc,mpx_no_narrow_bounds,1,None,164494423886,1352,28.651730669,,,175593402017,11098978131,
ferret,icc,mpx_no_narrow_bounds,1,None,2703093864593,18,443.788935979,,,2703712275996,618411403,
swaptions,icc,mpx_no_narrow_bounds,1,None,1639932264438,5,192.651348432,,,1640145717925,213453487,
streamcluster,icc,mpx_no_narrow_bounds,1,None,548272671436,15,195.829597097,,,548505761981,233090545,
canneal,icc,mpx_no_narrow_bounds,1,None,158755295498,829,155.84776678,,,160419481501,1664186003,
blackscholes,icc,mpx_no_narrow_bounds,1,None,420351744582,2,83.438910123,,,421191155786,839411204,
raytrace,icc,mpx_no_narrow_bounds,1,None,786949265663,658,153.170258958,,,787759231447,809965784,
x264,icc,mpx_no_narrow_bounds,1,None,,,,,,,,
facesim,icc,mpx_no_narrow_bounds_only_write,1,None,27569068193,128,3.657560284,,,29303491339,1734423146,
bodytrack,icc,mpx_no_narrow_bounds_only_write,1,None,746807968676,5,80.696269107,,,748121193270,1313224594,
vips,icc,mpx_no_narrow_bounds_only_write,1,None,698576111149,7,61.326026796,,,700825341366,2249230217,
fluidanimate,icc,mpx_no_narrow_bounds_only_write,1,None,1595651828445,506,213.027936704,,,1596619941337,968112892,
dedup,icc,mpx_no_narrow_bounds_only_write,1,None,139162478939,1352,25.103520264,,,150258071923,11095592984,
ferret,icc,mpx_no_narrow_bounds_only_write,1,None,1860580584170,19,330.657824922,,,1861076848908,496264738,
swaptions,icc,mpx_no_narrow_bounds_only_write,1,None,1214660143598,5,127.546431896,,,1214803830149,143686551,
streamcluster,icc,mpx_no_narrow_bounds_only_write,1,None,407097467621,14,200.891435074,,,407335702040,238234419,
canneal,icc,mpx_no_narrow_bounds_only_write,1,None,141233466944,829,151.457908546,,,142895632154,1662165210,
blackscholes,icc,mpx_no_narrow_bounds_only_write,1,None,406305492674,2,83.55477245,,,407201591775,896099101,
raytrace,icc,mpx_no_narrow_bounds_only_write,1,None,589402179568,657,121.399063834,,,590202139878,799960310,
x264,icc,mpx_no_narrow_bounds_only_write,1,None,1536142580869,4,184.214352379,,,1536622817330,480236461,
x264,gcc,native,1,None,1583807960417,0,143.15820174,,,1584281544851,473584434,
facesim,gcc,native,1,None,28108877156,0,5.417332109,,,29721947091,1613069935,
canneal,gcc,native,1,None,130339075615,0,161.725224972,,,130938945865,599870250,
bodytrack,gcc,native,1,None,752968401527,0,88.297413643,,,754306676065,1338274538,
dedup,gcc,native,1,None,112749216796,0,20.087380042,,,123292673764,10543456968,
vips,gcc,native,1,None,739202602833,0,62.638089692,,,741478026397,2275423564,
ferret,gcc,native,1,None,1690166745406,0,285.380239627,,,1690611025011,444279605,
fluidanimate,gcc,native,1,None,1577088579621,0,208.248409212,,,1577384981644,296402023,
blackscholes,gcc,native,1,None,519511697891,0,143.482618551,,,520471827257,960129366,
swaptions,gcc,native,1,None,1315231547573,0,257.90739044,,,1315515182789,283635216,
streamcluster,gcc,native,1,None,1509206307544,0,392.909131745,,,1509647232846,440925302,
raytrace,gcc,native,1,None,1063235111982,0,208.67782211,,,1063753653967,518541985,
x264,clang,native,1,None,2799620751223,0,255.714230611,,,2800220311267,599560044,
facesim,clang,native,1,None,24778289483,0,3.581299333,,,26393159327,1614869844,
canneal,clang,native,1,None,123590390294,0,156.143520658,,,124185411510,595021216,
bodytrack,clang,native,1,None,750561354337,0,91.526722766,,,751903827650,1342473313,
dedup,clang,native,1,None,120812973355,0,22.802607494,,,131359491983,10546518628,
vips,clang,native,1,None,737533979906,0,62.960242181,,,739784722217,2250742311,
ferret,clang,native,1,None,1552465024458,0,294.98932017,,,1552918154494,453130036,
fluidanimate,clang,native,1,None,1748033408125,0,223.372146771,,,1748344474542,311066417,
blackscholes,clang,native,1,None,534993585170,0,147.831602719,,,535958777573,965192403,
swaptions,clang,native,1,None,1373095637126,0,258.232674926,,,1373380835615,285198489,
streamcluster,clang,native,1,None,1124576290281,0,381.501776376,,,1125004042140,427751859,
raytrace,clang,native,1,None,261499640696,0,42.889283964,,,261838296171,338655475,
x264,gcc,asan,1,None,16444509072577,0,1081.88632537,,,16446127510851,1618438274,
facesim,gcc,asan,1,None,118985072537,0,9.277093146,,,121104047666,2118975129,
canneal,gcc,asan,1,None,337057044999,0,198.699177321,,,338642099731,1585054732,
bodytrack,gcc,asan,1,None,1880660513866,0,150.5770717,,,1884728646592,4068132726,
dedup,gcc,asan,1,None,413404847876,0,37.709517695,,,424768997255,11364149379,
vips,gcc,asan,1,None,1949814547320,0,130.335664113,,,1952305186365,2490639045,
ferret,gcc,asan,1,None,5405126639025,0,499.893400433,,,5409435380825,4308741800,
fluidanimate,gcc,asan,1,None,4985992766378,0,378.764788125,,,4986570740581,577974203,
blackscholes,gcc,asan,1,None,659958412984,0,157.556035769,,,661030969696,1072556712,
swaptions,gcc,asan,1,None,2341330758950,0,240.236810697,,,2341890654688,559895738,
streamcluster,gcc,asan,1,None,5961348125380,0,520.386066259,,,5961946521434,598396054,
raytrace,gcc,asan,1,None,2144276118287,0,248.126620474,,,2145855994375,1579876088,
x264,gcc,asan_only_write,1,None,2441786015674,0,194.175817205,,,2442458226126,672210452,
facesim,gcc,asan_only_write,1,None,62787903936,0,6.232871006,,,64904929082,2117025146,
canneal,gcc,asan_only_write,1,None,213155191407,0,174.632281524,,,214741612853,1586421446,
bodytrack,gcc,asan_only_write,1,None,1022025142937,0,103.753551491,,,1026034161952,4009019015,
dedup,gcc,asan_only_write,1,None,227280098879,0,28.231531159,,,238637194808,11357095929,
vips,gcc,asan_only_write,1,None,997801106589,0,75.784150068,,,1000186429872,2385323283,
ferret,gcc,asan_only_write,1,None,2315454221337,0,329.32725531,,,2319573775464,4119554127,
fluidanimate,gcc,asan_only_write,1,None,1947269545095,0,225.339005391,,,1947683589009,414043914,
blackscholes,gcc,asan_only_write,1,None,586002400796,0,150.199129055,,,587067891402,1065490606,
swaptions,gcc,asan_only_write,1,None,1669826459348,0,189.190031865,,,1670291346826,464887478,
streamcluster,gcc,asan_only_write,1,None,1531946752597,0,382.258802785,,,1532392500096,445747499,
raytrace,gcc,asan_only_write,1,None,1320464357205,0,226.233894472,,,1322046464842,1582107637,
x264,clang,asan,1,None,7133795684742,0,488.224661613,,,7134794815599,999130857,
facesim,clang,asan,1,None,83557857575,0,7.427656051,,,85676992122,2119134547,
canneal,clang,asan,1,None,298583276923,0,194.348970204,,,300149812703,1566535780,
bodytrack,clang,asan,1,None,1631801054362,0,142.835325699,,,1635862610007,4061555645,
dedup,clang,asan,1,None,352957007641,0,37.177372115,,,364307259060,11350251419,
vips,clang,asan,1,None,1593357408674,0,119.664626569,,,1595858011223,2500602549,
ferret,clang,asan,1,None,4389796128403,0,456.216500746,,,4394073939007,4277810604,
fluidanimate,clang,asan,1,None,3508328239813,0,319.23716975,,,3508846700320,518460507,
blackscholes,clang,asan,1,None,623893205757,0,153.1070817,,,624964728401,1071522644,
swaptions,clang,asan,1,None,2403461433990,0,238.378979129,,,2403981957408,520523418,
streamcluster,clang,asan,1,None,3720130905032,0,416.968558081,,,3720618126747,487221715,
raytrace,clang,asan,1,None,562826468834,0,63.396041125,,,564262637439,1436168605,
x264,softbound,native,1,None,5220123983138,0,769.375167238,,,5221280062961,1156079823,
facesim,softbound,native,1,None,,,,,,,,
canneal,softbound,native,1,None,119847104596,0,154.268443637,,,120439597203,592492607,
bodytrack,softbound,native,1,None,766901401175,0,90.703165474,,,768243547946,1342146771,
dedup,softbound,native,1,None,117423585338,0,21.300946786,,,127977386778,10553801440,
vips,softbound,native,1,None,807884039527,0,68.816658428,,,810164152344,2280112817,
ferret,softbound,native,1,None,1624121409130,0,294.112741385,,,1624577010786,455601656,
fluidanimate,softbound,native,1,None,1824503808055,0,229.310788829,,,1824822140035,318331980,
blackscholes,softbound,native,1,None,523204693452,0,140.172833581,,,524161792212,957098760,
swaptions,softbound,native,1,None,1470798986105,0,288.64786797,,,1471111519397,312533292,
streamcluster,softbound,native,1,None,1728115472215,0,392.969352336,,,1728544387230,428915015,
raytrace,softbound,native,1,None,284521565422,0,59.704393199,,,284877843067,356277645,
x264,softbound,enabled,1,None,,,,,,,,
facesim,softbound,enabled,1,None,,,,,,,,
canneal,softbound,enabled,1,None,,,,,,,,
bodytrack,softbound,enabled,1,None,,,,,,,,
dedup,softbound,enabled,1,None,,,,,,,,
vips,softbound,enabled,1,None,,,,,,,,
ferret,softbound,enabled,1,None,,,,,,,,
fluidanimate,softbound,enabled,1,None,,,,,,,,
blackscholes,softbound,enabled,1,None,,,,,,,,
swaptions,softbound,enabled,1,None,5165559718722,0,531.093123143,,,5166150133338,590414616,
streamcluster,softbound,enabled,1,None,,,,,,,,
raytrace,softbound,enabled,1,None,,,,,,,,
x264,safecode,native,1,None,,,,,,,,
facesim,safecode,native,1,None,,,,,,,,
canneal,safecode,native,1,None,121184295654,0,149.887795137,,,121739872241,555576587,
bodytrack,safecode,native,1,None,803954893138,0,90.374774412,,,805295399611,1340506473,
dedup,safecode,native,1,None,117465558645,0,21.533861397,,,128016978478,10551419833,
vips,safecode,native,1,None,671148626763,0,59.367925241,,,673418711201,2270084438,
ferret,safecode,native,1,None,1653010603957,0,294.646821744,,,1653465497546,454893589,
fluidanimate,safecode,native,1,None,1841631909398,0,231.482939311,,,1841951970449,320061051,
blackscholes,safecode,native,1,None,521498693493,0,140.506889777,,,522456938697,958245204,
swaptions,safecode,native,1,None,1378550993815,0,260.012689236,,,1378838818100,287824285,
streamcluster,safecode,native,1,None,1726122703101,0,394.361272967,,,1726562404541,439701440,
raytrace,safecode,native,1,None,379826881911,0,99.358936829,,,380227125002,400243091,
x264,safecode,enabled,1,None,,,,,,,,
facesim,safecode,enabled,1,None,,,,,,,,
canneal,safecode,enabled,1,None,2997625900654,0,1134.250073375,,,3000433279275,2807378621,
bodytrack,safecode,enabled,1,None,,,,,,,,
dedup,safecode,enabled,1,None,,,,,,,,
vips,safecode,enabled,1,None,,,,,,,,
ferret,safecode,enabled,1,None,,,,,,,,
fluidanimate,safecode,enabled,1,None,3814074480791,0,435.31149387,,,3814618953268,544472477,
blackscholes,safecode,enabled,1,None,559220461499,0,144.913356822,,,560111424304,890962805,
swaptions,safecode,enabled,1,None,27477356164155,0,3270.946354091,,,27480896770702,3540606547,
streamcluster,safecode,enabled,1,None,1789695059278,0,397.297839821,,,1790134433348,439374070,
raytrace,safecode,enabled,1,None,,,,,,,,
